Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
"Warrior Met Coal, Inc.",Jack K. Richardson ,https://www.linkedin.com/in/jack-k-richardson-3a6754123,William Stanhouse ,https://www.linkedin.com/in/william-stanhouse-828654b0,https://www.warriormetcoal.com
Weatherford International plc,Dianne Ralston ,https://www.linkedin.com/in/dianne-ralston-51b59b7,Dianne Ralston ,https://www.linkedin.com/in/dianne-ralston-51b59b7,https://www.weatherford.com
Westport Fuel Systems Inc,ashoka achuthan ,https://ca.linkedin.com/in/ashoka-achuthan-126a0561,Fabio Vesentini ,https://www.linkedin.com/in/fabio-vesentini-876169105,https://www.wfsinc.com/
Whiting Petroleum Corporation,Brad Holly ,https://www.linkedin.com/in/brad-holly-0830504,"Heather Duncan, SPHR, SHRM",https://www.linkedin.com/in/heather-duncan-sphr-shrm-scp-1213ab5,https://www.whiting.com
"Woodward, Inc.",Gregg Sengstack ,https://www.linkedin.com/in/gregg-sengstack-b5221b25,Carol Brungardt ,https://www.linkedin.com/in/carol-brungardt-7512a98,https://www.woodward.com
World Fuel Services Corporation,Timothy Ramsay ,https://www.linkedin.com/in/timothy-ramsay-28401510,Timothy Ramsay ,https://www.linkedin.com/in/timothy-ramsay-28401510,https://www.wfscorp.com/
"WPX Energy, Inc.",Kelly Swan ,https://www.linkedin.com/in/kelly-swan-0697a950,Wendy Brooks ,https://www.linkedin.com/in/wendy-brooks-54b29681,https://www.wpxenergy.com
YPF Sociedad Anonima,"George Atuan, CFA ",https://cl.linkedin.com/in/georgeatuan,"George Atuan, CFA ",https://cl.linkedin.com/in/georgeatuan,https://www.ypf.com
"Yuma Energy, Inc.",Paul McKinney ,https://www.linkedin.com/in/paul-mckinney-1985a84,Jay Jacobs ,https://www.linkedin.com/in/jay-jacobs-9633a94,https://www.yumaenergyinc.com
Zion Oil & Gas Inc,Gene Soltero ,https://www.linkedin.com/in/soltero,Andrew J. Summey ,https://www.linkedin.com/in/andrewsummey,https://www.zionoil.com/
Zion Oil & Gas Inc,Gene Soltero ,https://www.linkedin.com/in/soltero,Andrew J. Summey ,https://www.linkedin.com/in/andrewsummey,https://www.zionoil.com/
