Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
Attis Industries Inc.,Mark Schifani ,https://www.linkedin.com/in/mark-schifani-40984a8,Mark Schifani ,https://www.linkedin.com/in/mark-schifani-40984a8,https://www.mwsinc.com
Auryn Resources Inc.,Bryan Atkinson ,https://www.linkedin.com/in/bryan-atkinson-1a631559,Jay Adelaar ,https://ca.linkedin.com/in/jay-adelaar-45632422,https://www.aurynresources.com
Avino Silver,Bill Bowker ,https://www.linkedin.com/in/bill-bowker-488365157,Charlie Daley ,https://www.linkedin.com/in/charlie-daley-9a75768,https://www.avino.com
Axalta Coating Systems Ltd.,stan harmer ,https://www.linkedin.com/in/stan-harmer-482b0615,stan harmer ,https://www.linkedin.com/in/stan-harmer-482b0615,https://www.axalta.com/
B2Gold Corp,Clive Johnson ,https://ca.linkedin.com/in/clive-johnson-933468170,Victor King ,https://www.linkedin.com/in/victor-king-a53a0815,https://www.b2gold.com
Balchem Corporation,eric smith ,https://www.linkedin.com/in/eric-smith-01122117,Brent Tignor ,https://www.linkedin.com/in/brent-tignor-0b73966,https://www.balchem.com
Barrick Gold Corporation,Bill MacNevin ,https://www.linkedin.com/in/bill-macnevin-a4a25b61,Ravi Malladi ,https://www.linkedin.com/in/ravi-malladi-60704b5,https://www.barrick.com
Belden Inc,John Stroup ,https://www.linkedin.com/in/john-stroup-60148a6,Tracey Grimshaw ,https://www.linkedin.com/in/traceygrimshaw,https://www.belden.com
BHP Group Limited,Duncan Hart ,https://kw.linkedin.com/pub/duncan-hart/0/367/aa8?trk=seokp-post-author-name,Result Not Found,No Results,https://www.bhp.com/
Bioceres Crop Solutions Corp.,Luis Figarella ,https://www.linkedin.com/in/luis-figarella-351197,Luis Figarella ,https://jm.linkedin.com/pub/luis-figarella/0/197/351?trk=seokp-post-author-name,https://www.unionacquisitioncorp.com
Braskem S.A.,Ian Rubin ,https://www.linkedin.com/in/ian-rubin-5927b610,Nick Sprague ,https://www.linkedin.com/in/nicksprague,https://www.braskem.com.br
Brookfield Business Partners L.P.,Denis Turcotte ,https://ca.linkedin.com/in/denis-turcotte-b2854413,Julian Murray ,https://ca.linkedin.com/in/murrayjulian,https://www.bbu.brookfield.com
Buenaventura Mining Company Inc.,Result Not Found,No Results,Result Not Found,No Results,https://www.buenaventura.com
Cabot Corporation,Ariel K. ,https://www.linkedin.com/in/arielkuan,Rob Davies ,https://www.linkedin.com/in/rob-davies-6a6013b,https://www.cabotcorp.com
Caledonia Mining Corporation Plc,40+ Adam Chester profiles ,https://ph.linkedin.com/pub/dir/Adam/Chester,"Adam Chester – General Counsel, Company Secretary and Head of ..",https://www.linkedin.com/in/adam-chester-6373bb46/de,https://www.caledoniamining.com
"Calyxt, Inc.",Federico Tripodi ,https://www.linkedin.com/in/federico-tripodi-5a6391,Jennifer Moore ,https://www.linkedin.com/in/jennifer-moore-42649111,https://www.calyxt.com
Cameco Corporation,Dorothy Slawinski ,https://ca.linkedin.com/in/dorothy-slawinski-21364943,Jonathan Huntington ,https://ca.linkedin.com/in/jonathan-huntington-820663155,https://www.cameco.com
Carlisle Companies Incorporated,Michael Roberson ,https://www.linkedin.com/in/michael-roberson-9b29787,Kevin Zdimal ,https://www.linkedin.com/in/kevin-zdimal-5b631b8,https://www.carlisle.com
Carpenter Technology Corporation,Tony Thene ,https://www.linkedin.com/in/tony-thene-8183a943,John Rice ,https://www.linkedin.com/in/johnlrice,https://www.cartech.com
"Cavco Industries, Inc.",Dan Urness ,https://www.linkedin.com/in/dan-urness-5b68a749,Steven Like ,https://www.linkedin.com/in/stevenlike,https://www.cavco.com
Celanese Corporation,Diana Peninger ,https://www.linkedin.com/in/dpeninger,Chuck Kyrish ,https://www.linkedin.com/in/chuck-kyrish-a003015,https://www.cleantecheast.se/
Centrus Energy Corp.,Stephen Greene ,https://www.linkedin.com/in/stephen-greene-8892631,Stephen Greene ,https://www.linkedin.com/in/stephen-greene-8892631,https://www.centrusenergy.com
